epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1070.29,1.93101,2.65719,1.97358,0.41528,0.38222,0.35865,0.09881,2.33048,2.93493,2.77442,0.000664188,0.000664188,0.000664188
2,2101.06,2.00159,2.22731,2.0493,0.49945,0.43111,0.43049,0.13375,2.38414,2.40815,2.73311,0.0013045,0.0013045,0.0013045
3,3071.45,2.07142,2.1391,2.11971,0.42504,0.41333,0.39564,0.12342,2.32023,2.07542,2.57982,0.00191842,0.00191842,0.00191842
4,4157.11,2.04783,2.04861,2.1125,0.39335,0.49567,0.42018,0.14357,2.17445,2.02508,2.45702,0.0018812,0.0018812,0.0018812
5,5092.43,2.00175,1.91929,2.06456,0.45876,0.50667,0.46459,0.13798,2.26177,2.20386,2.50668,0.0018416,0.0018416,0.0018416
6,6159.88,1.96502,1.83806,2.03801,0.58368,0.65333,0.59637,0.18933,2.23592,1.6804,2.4401,0.001802,0.001802,0.001802
7,7128.27,1.97422,1.81465,2.02626,0.57796,0.49778,0.47558,0.14332,2.46776,1.97421,2.76844,0.0017624,0.0017624,0.0017624
8,8073.01,1.88385,1.73154,1.9706,0.7179,0.66667,0.71968,0.25306,2.14561,1.54762,2.30816,0.0017228,0.0017228,0.0017228
9,8998.58,1.9116,1.68868,1.9651,0.65456,0.73333,0.71239,0.2283,2.18799,1.54974,2.38467,0.0016832,0.0016832,0.0016832
10,9927.19,1.85573,1.62968,1.94032,0.65544,0.72889,0.68419,0.21548,2.1848,1.4808,2.35539,0.0016436,0.0016436,0.0016436
11,10844.3,1.86323,1.61532,1.93484,0.66712,0.7304,0.68515,0.21662,2.25623,1.45611,2.39759,0.001604,0.001604,0.001604
12,11766.8,1.84808,1.63843,1.91531,0.71977,0.62222,0.70309,0.26496,2.09141,1.52992,2.28145,0.0015644,0.0015644,0.0015644
13,12700.1,1.83398,1.58641,1.89866,0.75229,0.71556,0.77816,0.29429,2.10708,1.34684,2.32746,0.0015248,0.0015248,0.0015248
14,13627.3,1.80355,1.55449,1.89829,0.70642,0.73333,0.74238,0.26036,2.20628,1.40352,2.35252,0.0014852,0.0014852,0.0014852
15,14549.2,1.79468,1.55857,1.89253,0.77529,0.72889,0.77849,0.31606,1.99373,1.39779,2.20422,0.0014456,0.0014456,0.0014456
16,15507.3,1.81171,1.52843,1.87996,0.66367,0.60889,0.60598,0.22769,2.31505,1.52837,2.52651,0.001406,0.001406,0.001406
17,16484.7,1.77096,1.48679,1.8609,0.76711,0.80444,0.808,0.29158,2.1432,1.25667,2.30652,0.0013664,0.0013664,0.0013664
18,17472.1,1.7821,1.51638,1.87299,0.79201,0.70667,0.77067,0.29548,2.02245,1.32226,2.21771,0.0013268,0.0013268,0.0013268
19,18531.7,1.75703,1.45719,1.86795,0.8079,0.76889,0.79243,0.33704,2.00659,1.17763,2.22083,0.0012872,0.0012872,0.0012872
20,19475.1,1.74118,1.4105,1.83815,0.81497,0.77778,0.83321,0.34323,2.06331,1.16503,2.23591,0.0012476,0.0012476,0.0012476
21,20451,1.74808,1.42349,1.84308,0.79889,0.77778,0.84314,0.36169,2.00555,1.1158,2.1978,0.001208,0.001208,0.001208
22,21428.8,1.74182,1.41519,1.84595,0.74387,0.80444,0.7861,0.31204,2.05296,1.19006,2.27674,0.0011684,0.0011684,0.0011684
23,22434.4,1.74566,1.3907,1.8353,0.82118,0.75111,0.83942,0.36306,1.92159,1.13856,2.14459,0.0011288,0.0011288,0.0011288
24,23418.2,1.72836,1.37882,1.83171,0.79631,0.76,0.80436,0.33202,2.05739,1.16767,2.27048,0.0010892,0.0010892,0.0010892
25,24394.9,1.71112,1.38863,1.82241,0.83675,0.79111,0.84261,0.33694,2.11202,1.12049,2.28411,0.0010496,0.0010496,0.0010496
26,25362.2,1.70213,1.36775,1.80368,0.8061,0.78222,0.82101,0.32582,2.07955,1.09351,2.30419,0.00101,0.00101,0.00101
27,26282.6,1.68426,1.34307,1.80943,0.81495,0.77333,0.83891,0.38034,1.92404,1.09523,2.11155,0.0009704,0.0009704,0.0009704
28,27202.5,1.67712,1.30666,1.78837,0.85408,0.80646,0.85991,0.37982,1.9298,1.12784,2.10818,0.0009308,0.0009308,0.0009308
